time,roll,pitch,yaw,origin_x,origin_y,origin_z
0.41,-177.07281974567172,1.6043840377601453,-2.8694772861221236,-158.9744856,328.6660636,36.84415455
0.42,-177.233788654869,1.6606352715469348,-2.8870521085997862,-158.9528879,328.6458107,36.85927717
0.43,-177.18933747553282,1.570702501530099,-2.868976565147156,-158.9106959,328.6990343,36.82611533
0.44,-177.2387828197813,1.6264173469136836,-2.8943917398820886,-158.9507612,328.7090082,36.84085981
0.45,-177.21372049248964,1.6036356704708967,-2.8812160218671465,-158.9321433,328.6815285,36.86749941
0.46,-177.2754113934765,1.6276958019048517,-2.8904687012624093,-158.9157461,328.6718806,36.85637454
0.47,-177.1041329254485,1.6105978117865365,-2.864055373249404,-158.9057172,328.6438393,36.86332741
0.48,-177.2319523039481,1.6252326241207304,-2.8893394555831997,-158.9045665,328.6904786,36.83067954
0.49,-177.2168891391422,1.5968289781233613,-2.862467132291473,-158.8978854,328.6769089,36.91342063
0.5,-177.20541919095157,1.574625820064214,-2.8719347494120626,-158.9390522,328.6472215,36.75531191
0.51,-177.2068083104297,1.6117611388403714,-2.9122783489935364,-158.9277213,328.7229703,36.82029362
0.52,-177.18564306423946,1.6185662583667073,-2.869003847260654,-158.9508742,328.6250487,36.80919008
0.53,-177.09791308181744,1.6721739051126232,-2.91218150938247,-158.9113645,328.7045701,36.91440836
0.54,-177.15869878646478,1.661709456452412,-2.89377576206574,-158.9275248,328.6665947,36.86694161
0.55,-177.1594859161422,1.620303127009046,-2.8786077539316755,-158.9342137,328.6712935,36.91393067
0.56,-177.15019819886112,1.6184334024746663,-2.874509396755309,-158.9406888,328.6414007,36.79885053
0.57,-177.21739055367127,1.6043606454871648,-2.8766820476291923,-158.9319002,328.6653099,36.85996356
0.58,-177.24076472225082,1.6449603994321738,-2.9084011996421024,-158.9212329,328.7330732,36.91443748
0.59,-177.25920213914804,1.6112209803497068,-2.864043127974724,-158.8961422,328.6658415,36.85276589
0.6,-177.14108649281243,1.6544935619822891,-2.9002250018365876,-158.9329606,328.6883745,36.84294364
0.61,-177.08695552115225,1.6091274968479796,-2.868824028007967,-158.9052096,328.659081,36.86323925
0.62,-177.16442769305957,1.6269489764965597,-2.872381671761087,-158.9602495,328.6965446,36.90777149
0.63,-177.13531424283556,1.608954479951568,-2.8766834700091803,-158.9396314,328.7103581,36.8465121
0.64,-177.32233601103493,1.6040236178507397,-2.8737375651747685,-158.9183322,328.6539573,36.85876016
0.65,-177.20894118914708,1.6185834503121757,-2.8794383508163977,-158.9382241,328.6743104,36.90825459
0.66,-177.1687646590597,1.611180376764475,-2.86920147879505,-158.9273548,328.6622408,36.86592062
0.67,-177.17087954796344,1.5838585402223542,-2.8617133704606834,-158.9332552,328.6526178,36.87321166
